noise_mean,noise_std,noise_min,noise_25%,noise_50%,noise_75%,noise_max,noise_mad,max_magnitude_mean,max_magnitude_std,max_magnitude_min,max_magnitude_25%,max_magnitude_50%,max_magnitude_75%,max_magnitude_max,max_magnitude_mad,total_gain_db_mean,total_gain_db_std,total_gain_db_min,total_gain_db_25%,total_gain_db_50%,total_gain_db_75%,total_gain_db_max,total_gain_db_mad,base_pwr_db_mean,base_pwr_db_std,base_pwr_db_min,base_pwr_db_25%,base_pwr_db_50%,base_pwr_db_75%,base_pwr_db_max,base_pwr_db_mad,rssi_mean,rssi_std,rssi_min,rssi_25%,rssi_50%,rssi_75%,rssi_max,rssi_mad,relpwr_db_mean,relpwr_db_std,relpwr_db_min,relpwr_db_25%,relpwr_db_50%,relpwr_db_75%,relpwr_db_max,relpwr_db_mad,avgpwr_db_mean,avgpwr_db_std,avgpwr_db_min,avgpwr_db_25%,avgpwr_db_50%,avgpwr_db_75%,avgpwr_db_max,avgpwr_db_mad,bin_label,label
-95.0,0.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.0,42.92,8.708152455711785,20.0,35.75,43.5,49.0,65.0,6.929600000000001,81.0,0.0,81.0,81.0,81.0,81.0,81.0,0.0,373.0,0.0,373.0,373.0,373.0,373.0,373.0,0.0,2.6,0.8408749651825211,0.0,2.0,3.0,3.0,4.0,0.7039999999999997,10.52,1.5471054758921101,7.0,9.0,11.0,12.0,15.0,1.2896000000000003,54.43,0.6999999999999995,53.0,54.0,54.0,55.0,56.0,0.6102,0,0
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,42.1,8.709103561703973,23.0,36.75,41.5,47.25,63.0,6.892000000000003,81.0,0.0,81.0,81.0,81.0,81.0,81.0,0.0,380.0,0.0,380.0,380.0,380.0,380.0,380.0,0.0,4.43,0.755518418576331,3.0,4.0,4.0,5.0,7.0,0.6332,11.97,1.0391818848974372,9.0,11.0,12.0,13.0,15.0,0.7608000000000003,54.45,0.6415731927193979,53.0,54.0,54.0,55.0,57.0,0.5660000000000003,0,0
-101.0,0.0,-101.0,-101.0,-101.0,-101.0,-101.0,0.0,37.24,8.582481569976709,21.0,30.0,37.0,44.0,60.0,6.9744,81.0,0.0,81.0,81.0,81.0,81.0,81.0,0.0,379.0,0.0,379.0,379.0,379.0,379.0,379.0,0.0,4.41,0.7797305932049856,3.0,4.0,4.0,5.0,6.0,0.6746,12.21,1.1036669824185228,9.0,12.0,12.0,13.0,15.0,0.8530000000000012,54.31,0.662029325848053,53.0,54.0,54.0,55.0,56.0,0.5568000000000006,0,0
-101.0,0.0,-101.0,-101.0,-101.0,-101.0,-101.0,0.0,40.76,8.340142672519445,21.0,35.0,41.0,45.0,65.0,6.5144,81.0,0.0,81.0,81.0,81.0,81.0,81.0,0.0,379.0,0.0,379.0,379.0,379.0,379.0,379.0,0.0,4.3,0.6890192121758837,3.0,4.0,4.0,5.0,6.0,0.578,12.17,1.0736043324364246,10.0,11.0,12.0,13.0,15.0,0.8674000000000004,54.46,0.7166138105949085,53.0,54.0,54.0,55.0,56.0,0.6276,0,0
-101.0,0.0,-101.0,-101.0,-101.0,-101.0,-101.0,0.0,40.52,8.688178430743953,19.0,35.0,41.5,46.0,60.0,6.798400000000002,81.0,0.0,81.0,81.0,81.0,81.0,81.0,0.0,379.0,0.0,379.0,379.0,379.0,379.0,379.0,0.0,4.07,0.7818005635787945,2.0,4.0,4.0,5.0,6.0,0.5622000000000001,12.26,1.2028585481546392,10.0,11.0,12.0,13.0,16.0,0.9336000000000004,54.34,0.6231234454607106,53.0,54.0,54.0,55.0,56.0,0.535200000000001,0,0
-101.0,0.0,-101.0,-101.0,-101.0,-101.0,-101.0,0.0,40.82,8.730973541930991,19.0,36.0,40.5,47.0,61.0,6.8,81.0,0.0,81.0,81.0,81.0,81.0,81.0,0.0,379.0,0.0,379.0,379.0,379.0,379.0,379.0,0.0,3.99,0.7848952835000391,2.0,3.75,4.0,4.0,6.0,0.5349999999999995,12.11,1.0814785987692777,9.0,11.75,12.0,13.0,14.0,0.8319999999999999,54.54,0.7023769168568501,53.0,54.0,55.0,55.0,56.0,0.6168,0,0
-101.0,0.0,-101.0,-101.0,-101.0,-101.0,-101.0,0.0,42.29,8.563836344144656,21.0,36.0,42.0,49.0,65.0,7.121599999999998,81.0,0.0,81.0,81.0,81.0,81.0,81.0,0.0,379.0,0.0,379.0,379.0,379.0,379.0,379.0,0.0,4.2,0.8040302522073695,2.0,4.0,4.0,5.0,6.0,0.6400000000000002,12.21,1.0852081678999508,9.0,11.75,12.0,13.0,15.0,0.8678,54.6,0.6513389472789296,53.0,54.0,55.0,55.0,56.0,0.5759999999999998,0,0
-101.0,0.0,-101.0,-101.0,-101.0,-101.0,-101.0,0.0,40.79,8.692612676952491,22.0,35.0,41.0,46.0,62.0,6.934200000000003,81.0,0.0,81.0,81.0,81.0,81.0,81.0,0.0,379.0,0.0,379.0,379.0,379.0,379.0,379.0,0.0,4.23,0.6794977348874478,3.0,4.0,4.0,5.0,6.0,0.5590000000000005,12.3,1.039619199903542,10.0,12.0,12.0,13.0,15.0,0.8559999999999998,54.51,0.7976607212735422,53.0,54.0,54.0,55.0,56.0,0.6903999999999999,0,0
-101.0,0.0,-101.0,-101.0,-101.0,-101.0,-101.0,0.0,35.32,7.6368061439850665,21.0,30.75,35.0,39.0,65.0,5.786400000000002,81.0,0.0,81.0,81.0,81.0,81.0,81.0,0.0,379.0,0.0,379.0,379.0,379.0,379.0,379.0,0.0,4.33,0.7792122414154677,2.0,4.0,4.0,5.0,6.0,0.6561999999999999,12.54,1.1583687589961085,10.0,12.0,12.0,13.0,15.0,0.9308000000000004,54.61,0.6339709708805218,53.0,54.0,55.0,55.0,56.0,0.5602000000000001,0,0
-101.0,0.0,-101.0,-101.0,-101.0,-101.0,-101.0,0.0,36.8,8.135220844071672,22.0,30.0,37.0,43.0,54.0,6.807999999999995,81.0,0.0,81.0,81.0,81.0,81.0,81.0,0.0,379.0,0.0,379.0,379.0,379.0,379.0,379.0,0.0,4.28,0.7664690127296391,3.0,4.0,4.0,5.0,6.0,0.6328000000000003,12.08,1.098023936741165,10.0,11.0,12.0,13.0,15.0,0.8455999999999995,54.35,0.6256309946079576,53.0,54.0,54.0,55.0,56.0,0.5410000000000004,0,0
