noise_mean,noise_std,noise_min,noise_25%,noise_50%,noise_75%,noise_max,noise_mad,max_magnitude_mean,max_magnitude_std,max_magnitude_min,max_magnitude_25%,max_magnitude_50%,max_magnitude_75%,max_magnitude_max,max_magnitude_mad,total_gain_db_mean,total_gain_db_std,total_gain_db_min,total_gain_db_25%,total_gain_db_50%,total_gain_db_75%,total_gain_db_max,total_gain_db_mad,base_pwr_db_mean,base_pwr_db_std,base_pwr_db_min,base_pwr_db_25%,base_pwr_db_50%,base_pwr_db_75%,base_pwr_db_max,base_pwr_db_mad,rssi_mean,rssi_std,rssi_min,rssi_25%,rssi_50%,rssi_75%,rssi_max,rssi_mad,relpwr_db_mean,relpwr_db_std,relpwr_db_min,relpwr_db_25%,relpwr_db_50%,relpwr_db_75%,relpwr_db_max,relpwr_db_mad,avgpwr_db_mean,avgpwr_db_std,avgpwr_db_min,avgpwr_db_25%,avgpwr_db_50%,avgpwr_db_75%,avgpwr_db_max,avgpwr_db_mad,bin_label,label
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,45.2,15.353083459591161,24.0,36.0,40.0,51.0,116.0,10.880000000000003,77.86,2.0598126814903073,66.0,77.0,78.0,79.0,81.0,1.2904000000000002,382.64,1.9670004852797818,380.0,382.0,382.0,383.0,394.0,1.3383999999999991,9.07,1.7364482500934273,6.0,8.0,9.0,10.0,21.0,1.036599999999999,11.7,7.353278661298445,7.0,10.0,11.0,11.0,62.0,2.373999999999994,58.35,1.465943347810514,53.0,58.0,58.0,59.0,61.0,1.1329999999999996,0,1
-95.0,0.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.0,43.99,11.40839226803734,25.0,37.0,42.5,49.0,86.0,8.248600000000001,75.56,3.361457115507189,67.0,75.0,77.0,78.0,80.0,2.611199999999999,377.93,3.43556855747798,374.0,376.0,377.0,378.0,387.0,2.6332000000000018,6.1,2.337658329321559,3.0,5.0,5.0,6.0,14.0,1.7359999999999982,10.23,2.538014017202259,4.0,9.0,9.0,11.25,17.0,2.002000000000002,58.3,1.1415035273840837,55.0,58.0,58.0,59.0,60.0,0.9419999999999996,0,1
-95.0,0.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.0,48.92,8.02481001379944,29.0,45.0,49.0,54.0,76.0,6.083199999999998,68.77,6.906087199278634,37.0,69.0,69.0,69.0,80.0,3.671000000000011,384.6,6.987723722950317,374.0,384.0,384.0,385.0,417.0,3.8720000000000097,6.52,4.678513102309837,3.0,4.0,5.0,6.0,34.0,2.590400000000006,14.65,8.591015979239915,9.0,12.0,13.0,14.0,57.0,3.751999999999989,52.71,3.576847548308199,42.0,51.0,51.5,55.25,61.0,2.863000000000001,0,1
-95.0,0.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.0,45.5,13.470881428646251,27.0,36.75,44.0,52.0,118.0,9.84,74.67,2.6016894278118343,65.0,74.0,74.0,76.0,79.0,1.6701999999999986,378.83,2.7193842143122255,375.0,377.0,379.0,380.0,389.0,1.7338000000000022,5.56,1.7015738406997034,3.0,5.0,5.0,6.0,15.0,1.0832000000000004,11.9,2.129636949189587,2.0,11.0,12.0,13.0,16.0,1.221999999999998,57.24,1.627540748764494,52.0,56.0,57.0,58.0,61.0,1.2384000000000017,0,1
-95.0,0.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.0,45.47,15.568976533575686,23.0,36.0,43.0,51.25,128.0,10.414600000000005,68.04,11.114573198001683,34.0,67.0,71.0,74.0,77.0,6.80559999999999,385.48,11.174899723862572,377.0,379.0,383.0,387.0,420.0,6.832800000000007,11.84,10.89316345700413,4.0,6.0,8.0,12.0,45.0,6.539199999999995,12.04,9.690065724099789,0.0,7.0,11.0,14.0,63.0,5.189599999999995,57.07,1.8762470600384777,52.0,56.0,57.0,58.0,61.0,1.3942,0,1
-95.0,0.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.0,51.51,12.419026621366998,24.0,43.0,51.5,59.0,85.0,9.71,69.46,3.016520170559768,65.0,67.75,68.0,70.0,77.0,2.3763999999999936,384.02,3.0944068147794574,377.0,383.0,385.0,386.0,389.0,2.4552000000000045,9.24,2.000605968806512,5.0,8.75,10.0,10.0,15.0,1.5160000000000011,8.8,4.419881620061053,1.0,6.0,7.0,12.0,19.0,3.7640000000000056,56.35,1.9455985031227612,53.0,55.0,56.0,58.0,61.0,1.7109999999999976,0,1
-95.0,0.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.0,46.13,13.065224874073198,22.0,36.0,44.0,54.0,89.0,10.293399999999997,72.71,5.1508457675620685,51.0,73.0,74.0,75.0,77.0,3.229800000000012,380.73,5.09080176654549,376.0,378.0,379.0,380.25,402.0,3.255000000000009,7.19,3.5976844404885413,3.0,5.0,6.0,7.0,24.0,2.4001999999999994,12.04,2.8423919362381973,3.0,11.0,12.0,14.0,19.0,1.8639999999999983,57.67,2.518838115986307,46.0,57.0,58.0,59.0,63.0,1.448999999999998,0,1
-95.0,0.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.0,42.25,9.036821422056619,27.0,35.0,41.0,48.0,69.0,7.155,73.36,3.205172587105305,61.0,71.75,74.0,75.25,78.0,2.432000000000002,380.13,3.205598007526612,375.0,378.0,379.0,382.0,392.0,2.4567999999999985,6.72,1.651934892448515,4.0,6.0,6.5,7.0,14.0,1.22,10.22,3.917275903615995,1.0,10.0,12.0,13.0,15.0,2.983200000000001,57.77,1.9114487604004362,52.0,57.0,58.0,59.0,62.0,1.408199999999999,0,1
-95.0,0.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.0,41.77,12.897306116026906,8.0,35.0,40.0,46.0,116.0,8.686999999999998,71.4,5.469843866070759,59.0,65.0,74.0,75.0,78.0,4.6600000000000135,382.1,5.525880340303579,376.0,378.0,379.0,389.0,394.0,4.722000000000009,8.98,4.925669723217568,4.0,6.0,6.0,14.25,20.0,4.2108000000000105,12.61,3.0381247538904694,5.0,11.0,12.0,14.0,21.0,2.2232000000000034,57.76,1.8755201298775108,48.0,57.0,58.0,59.0,65.0,1.2624000000000033,0,1
-95.0,0.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.0,38.82,8.931139486384284,24.0,32.0,37.5,44.0,66.0,6.922,74.76,1.4982818442631174,72.0,74.0,75.0,76.0,79.0,1.1743999999999997,378.81,1.5088627063675042,375.0,378.0,379.0,380.0,382.0,1.1793999999999993,6.03,1.0391818848974372,4.0,5.0,6.0,7.0,9.0,0.7808000000000003,9.76,2.6822273271189068,4.0,7.0,11.0,12.0,13.0,2.327200000000005,58.18,1.2583458759158164,55.0,57.0,58.0,59.0,62.0,0.9504000000000002,0,1
