noise_mean,noise_std,noise_min,noise_25%,noise_50%,noise_75%,noise_max,noise_mad,max_magnitude_mean,max_magnitude_std,max_magnitude_min,max_magnitude_25%,max_magnitude_50%,max_magnitude_75%,max_magnitude_max,max_magnitude_mad,total_gain_db_mean,total_gain_db_std,total_gain_db_min,total_gain_db_25%,total_gain_db_50%,total_gain_db_75%,total_gain_db_max,total_gain_db_mad,base_pwr_db_mean,base_pwr_db_std,base_pwr_db_min,base_pwr_db_25%,base_pwr_db_50%,base_pwr_db_75%,base_pwr_db_max,base_pwr_db_mad,rssi_mean,rssi_std,rssi_min,rssi_25%,rssi_50%,rssi_75%,rssi_max,rssi_mad,relpwr_db_mean,relpwr_db_std,relpwr_db_min,relpwr_db_25%,relpwr_db_50%,relpwr_db_75%,relpwr_db_max,relpwr_db_mad,avgpwr_db_mean,avgpwr_db_std,avgpwr_db_min,avgpwr_db_25%,avgpwr_db_50%,avgpwr_db_75%,avgpwr_db_max,avgpwr_db_mad,bin_label,label
-108.0,0.0,-108.0,-108.0,-108.0,-108.0,-108.0,0.0,40.526666666666664,6.789903794958843,23.0,36.0,40.0,44.0,67.0,5.2419555555555535,51.11833333333333,0.9912794495671335,49.0,50.0,51.0,52.0,54.0,0.7556277777777795,415.3983333333333,0.990605566241506,412.0,415.0,415.0,416.0,418.0,0.828955555555555,40.80166666666667,1.1552293337593937,37.0,40.0,41.0,42.0,44.0,0.9145833333333324,14.728333333333333,1.360495793290626,10.0,14.0,15.0,16.0,19.0,1.1012222222222208,58.74166666666667,0.9163314508236065,55.0,58.0,59.0,59.0,61.0,0.7300277777777758,1,3
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,880.105,2.7658739000029895,874.0,878.0,880.0,882.0,891.0,2.1465333333333363,53.025,0.8137230745592279,50.0,52.0,53.0,54.0,54.0,0.6077499999999981,407.36833333333334,0.8929311838288392,406.0,407.0,407.0,408.0,410.0,0.7665722222222227,32.82833333333333,1.16093791836862,29.0,32.0,33.0,34.0,36.0,0.9103055555555577,17.251666666666665,1.7474036706504132,13.0,16.0,17.0,18.0,23.0,1.4160388888888886,210.355,0.5681957503224374,209.0,210.0,210.0,211.0,212.0,0.5142833333333319,1,3
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,883.1483333333333,2.3683353315412443,877.0,881.0,883.0,885.0,890.0,1.921938888888886,51.263333333333335,0.9230794557846616,49.0,51.0,51.0,52.0,54.0,0.7491666666666645,409.25666666666666,0.9140649576480965,407.0,409.0,409.0,410.0,411.0,0.73791111111111,34.73833333333334,1.1023713499592132,32.0,34.0,35.0,35.0,38.0,0.894311111111109,17.038333333333334,1.6537095112104794,12.0,16.0,17.0,18.0,22.0,1.2952333333333312,212.26666666666668,0.5911610111670913,211.0,212.0,212.0,213.0,214.0,0.49888888888889216,1,3
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,883.4783333333334,2.452799270763918,877.0,882.0,883.0,885.0,890.0,1.9948555555555572,51.26166666666666,0.9280621681054902,49.0,51.0,51.0,52.0,54.0,0.7268333333333306,409.26,0.9524943091772323,406.0,409.0,409.0,410.0,411.0,0.7717333333333317,34.736666666666665,1.0735811643356301,31.0,34.0,35.0,35.0,37.0,0.8602111111111096,17.101666666666667,1.6968980505259263,12.0,16.0,17.0,18.0,22.0,1.314994444444446,212.285,0.5839606294044906,211.0,212.0,212.0,213.0,214.0,0.4980999999999974,1,3
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,883.4433333333334,2.4873883338610283,877.0,882.0,883.0,885.0,893.0,1.9762222222222257,51.18333333333333,0.9440379061082064,49.0,51.0,51.0,52.0,55.0,0.7504444444444451,409.29,0.9768095659921132,406.0,409.0,409.0,410.0,412.0,0.8034000000000026,34.81333333333333,1.1167964359517197,31.0,34.0,35.0,36.0,37.0,0.8797777777777775,17.125,1.6156708577350225,12.0,16.0,17.0,18.0,22.0,1.2841666666666667,212.27666666666667,0.5721314938887606,211.0,212.0,212.0,213.0,214.0,0.49037777777777836,1,3
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,882.4733333333334,2.482517615595476,876.0,881.0,882.0,884.0,892.0,2.005244444444446,51.556666666666665,1.0417602072636276,49.0,51.0,51.0,52.0,55.0,0.8652555555555561,408.93666666666667,1.0121081102993745,405.0,408.0,409.0,410.0,411.0,0.7617888888888886,34.43833333333333,1.213253420350513,29.0,34.0,35.0,35.0,37.0,0.9699777777777755,17.028333333333332,1.5721482029935494,12.0,16.0,17.0,18.0,21.0,1.231044444444441,211.87,0.693229841169443,210.0,211.0,212.0,212.0,214.0,0.5102333333333312,1,3
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,880.3083333333333,2.37823967016997,874.0,879.0,880.0,882.0,889.0,1.9111944444444422,52.71666666666667,0.9333671191913376,50.0,52.0,53.0,53.0,55.0,0.7653333333333305,407.75,0.9321739360647583,405.0,407.0,408.0,408.0,410.0,0.7591666666666667,33.23833333333334,1.080189136141729,30.0,33.0,33.0,34.0,36.0,0.8536166666666687,17.043333333333333,1.5892340913841436,11.0,16.0,17.0,18.0,21.0,1.2273555555555553,210.735,0.5674313149288972,209.0,210.0,211.0,211.0,212.0,0.4732499999999948,1,3
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,883.6,2.3852636061418147,877.0,882.0,883.0,885.0,892.0,1.925333333333337,51.085,0.9341105953475576,48.0,50.0,51.0,52.0,54.0,0.6917666666666658,409.415,0.9614132960784697,406.0,409.0,409.0,410.0,412.0,0.8055000000000007,34.86333333333334,1.1195585026952126,31.0,34.0,35.0,36.0,38.0,0.8800888888888861,17.126666666666665,1.57948731846894,12.0,16.0,17.0,18.0,22.0,1.2660888888888886,212.34,0.5873456888951951,211.0,212.0,212.0,213.0,214.0,0.5248000000000017,1,3
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,883.645,2.590397382191154,877.0,882.0,883.0,885.0,892.0,2.0981166666666664,51.095,0.9367162834388211,49.0,50.0,51.0,52.0,55.0,0.6876000000000039,409.4116666666667,0.9663092041468516,406.0,409.0,410.0,410.0,412.0,0.8008833333333331,34.88,1.125927553068109,31.0,34.0,35.0,36.0,38.0,0.857066666666668,17.025,1.5827877395218337,12.0,16.0,17.0,18.0,22.0,1.2144999999999964,212.38666666666666,0.606439199805436,210.0,212.0,212.0,213.0,214.0,0.5474666666666652,1,3
-102.0,0.0,-102.0,-102.0,-102.0,-102.0,-102.0,0.0,883.7233333333334,2.4940909576565264,879.0,882.0,884.0,885.0,893.0,1.9982999999999993,51.13333333333333,0.9576450432895873,49.0,50.0,51.0,52.0,54.0,0.7346666666666644,409.39166666666665,0.9659981761626022,406.0,409.0,409.0,410.0,412.0,0.7971944444444435,34.848333333333336,1.1463801877126971,32.0,34.0,35.0,36.0,38.0,0.8910055555555516,17.043333333333333,1.6398996942600725,12.0,16.0,17.0,18.0,21.0,1.2977999999999983,212.38666666666666,0.6036800517633918,211.0,212.0,212.0,213.0,214.0,0.5482222222222208,1,3
